"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Blank","Program Description","Loan No","Note Amount","Funding Clearing Account","Impounds Payable","MIP","Prepaid Interest","Appraisal Fee","Appraisal Review Fee","Appraisal Review Fee - APR","Lender Inspection Fee","Refund/Credit Appraisal","Reinspection Fee","Buydown Fee","EEM Repair Holdback","HUD Repair Holdback","Rural Housing Funding Fee","Loan Origination Fee","Loan Discount Fee","Loan level Price Adjustments","Credit Report Fee","Redraw Fee","Document Fee Lender","Funding Fee Lender","Processing Fee","Processing Fee Credit","Underwriting Fee","Refund Lock In Deposit","Flood Certification Fee","Tax Related Service Fee","Wire Transfer Fee Lender","Engineer's Cert","VOE/VOD","Rate Lock Extension Fee","CalStrs Audit Fee","CalStrs Loan Setup","NHF Extension Fee","MCC Application Fee","Lender Credit","Oregon Housing Cash Advance","Interest Rate Lock Fee Credit","Platinum Down Pmt Asst","FHA 30 Days Interest","Tolerance Cure Fee","Refund Credit Rpt","Homeowners Assc Cert Fee","Subordination Fee","Extra 1","Extra 2","HUD Repair Holdback Admin Fee","Appraisal Waiver Fee","Loan Discount - Bonafide"
"0","","","","06/02/2015","","","3621500107","261000.00","251126.83","1857.18","5976.90","-30.81","425.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","65.90","0.00","0.00","175.00","344.00","0.00","890.00","0.00","10.00","85.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/04/2015","","","3621500114","242526.00","233551.08","1330.03","4171.21","-77.24","550.00","0.00","0.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","606.32","0.00","19.60","0.00","0.00","175.00","1075.00","0.00","890.00","0.00","10.00","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/04/2015","","","3621500115","7410.00","7410.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/03/2015","","","3621500117","1300000.00","1267609.93","0.00","0.00","-252.78","1000.00","0.00","0.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","14625.00","4875.00","0.00","17.85","0.00","0.00","175.00","990.00","0.00","890.00","0.00","10.00","85.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","9750.00"
"0","","","","06/04/2015","","","3621500134","255000.00","251939.05","1432.97","0.00","-81.22","450.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.20","0.00","0.00","175.00","1075.00","0.00","890.00","0.00","10.00","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/01/2015","","","3631500026","294566.00","297779.80","1463.95","5066.25","0.00","465.00","0.00","0.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","2895.00","0.00","0.00","0.00","0.00","350.00","0.00","925.00","0.00","190.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-14729.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/01/2015","","","3681500188","738706.00","729175.88","4289.70","6577.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.20","0.00","0.00","175.00","1075.00","0.00","890.00","0.00","0.00","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3601.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/02/2015","","","3681500207","255290.00","249212.93","1344.95","4390.75","-26.23","450.00","0.00","0.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42.60","0.00","0.00","175.00","1075.00","0.00","890.00","0.00","10.00","0.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/04/2015","","","5051500019","625500.00","613119.27","3621.23","0.00","-208.50","900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6255.00","0.00","0.00","0.00","0.00","350.00","0.00","795.00","0.00","500.00","0.00","10.00","83.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","06/02/2015","","","6651500024","378000.00","368687.25","1656.04","5178.60","1294.13","0.00","200.00","0.00","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","3780.00","0.00","0.00","27.98","0.00","0.00","0.00","595.00","0.00","725.00","-500.00","10.00","81.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3780.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
