"Reference Number","Alternate Vendor Code","Vendor Name","Joint Payee","Post Date","Blank","Program Description","Loan No","Note Amount","Funding Clearing Account","Impounds Payable","MIP","Prepaid Interest","Appraisal Fee","Appraisal Review Fee","Appraisal Review Fee - APR","Lender Inspection Fee","Refund/Credit Appraisal","Reinspection Fee","Buydown Fee","EEM Repair Holdback","HUD Repair Holdback","Rural Housing Funding Fee","Loan Origination Fee","Loan Discount Fee","Loan level Price Adjustments","Credit Report Fee","Redraw Fee","Document Fee Lender","Funding Fee Lender","Processing Fee","Processing Fee Credit","Underwriting Fee","Refund Lock In Deposit","Flood Certification Fee","Tax Related Service Fee","Wire Transfer Fee Lender","Engineer's Cert","VOE/VOD","Rate Lock Extension Fee","CalStrs Audit Fee","CalStrs Loan Setup","NHF Extension Fee","MCC Application Fee","Lender Credit","Oregon Housing Cash Advance","Interest Rate Lock Fee Credit","Platinum Down Pmt Asst","FHA 30 Days Interest","Tolerance Cure Fee","Refund Credit Rpt","Homeowners Assc Cert Fee","Subordination Fee","Extra 1","Extra 2","HUD Repair Holdback Admin Fee","Appraisal Waiver Fee","Loan Discount - Bonafide"
"0","","","","02/03/2015","","","1061400164","208160.00","203079.68","549.99","3580.15","-45.62","230.00","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","2045.80","0.00","0.00","0.00","0.00","590.00","0.00","495.00","0.00","225.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/09/2015","","","1061400571","154354.00","150465.15","1033.79","2654.75","338.31","0.00","0.00","0.00","0.00","-50.00","0.00","0.00","0.00","0.00","0.00","1517.00","0.00","0.00","0.00","0.00","390.00","0.00","495.00","0.00","450.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/12/2015","","","1061400601","180667.00","175705.64","821.88","3107.30","336.58","0.00","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","1775.60","0.00","0.00","0.00","0.00","590.00","0.00","495.00","0.00","275.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/04/2015","","","1061400607","120000.00","116969.51","489.24","0.00","-43.75","15.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1200.00","0.00","0.00","0.00","0.00","590.00","0.00","495.00","0.00","225.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/11/2015","","","1061400617","258875.00","253387.88","1178.26","0.00","550.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2588.75","0.00","0.00","0.00","0.00","390.00","0.00","495.00","0.00","225.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/03/2015","","","1061500000","227797.00","220575.06","1106.46","3917.90","628.78","15.00","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","2238.80","0.00","0.00","0.00","0.00","390.00","0.00","495.00","0.00","225.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1955.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/09/2015","","","1061500001","106837.00","101665.91","594.06","1837.50","219.53","0.00","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","1050.00","0.00","0.00","0.00","0.00","490.00","0.00","595.00","0.00","225.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/24/2015","","","1061500003","126564.00","123050.26","553.72","2176.79","69.35","0.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","1243.88","0.00","0.00","0.00","0.00","590.00","0.00","495.00","0.00","225.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1950.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/11/2015","","","1061500007","350000.00","345268.00","1571.31","0.00","625.69","0.00","0.00","0.00","0.00","-100.00","0.00","0.00","0.00","0.00","0.00","2625.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
"0","","","","02/11/2015","","","1061500012","171830.00","164643.61","922.79","2955.31","349.54","0.00","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","1688.75","0.00","0.00","0.00","0.00","390.00","0.00","495.00","0.00","275.00","0.00","10.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","100.00","0.00","0.00","0.00"
